seed,method,dev_acc,test_acc
0,baseline,62.26,62.19
1,baseline,52.39,52.984
2,baseline,59.22,59.336
3,baseline,61.56,61.402
4,baseline,60.97,60.702
5,baseline,60.24,59.238
6,baseline,58.98,59.618
7,baseline,55.52,54.804
8,baseline,58.62,58.906
9,baseline,58.57,57.436
0,ELV,91.72,91.386
1,ELV,91.43,91.792
2,ELV,92.32,92.504
3,ELV,93.4,93.144
4,ELV,92.18,91.89
0,textcat-missing,97.98,97.934
1,textcat-missing,98.61,98.686
2,textcat-missing,99.12,98.894
3,textcat-missing,98.58,98.438
4,textcat-missing,98.78,98.996
0,textcat,91.51,90.96
1,textcat,92.31,92.692
2,textcat,90.18,90.26
3,textcat,92.68,92.402
4,textcat,93.26,93.154
